wall_time_s,frame_timestamp_s,raw_x,raw_y,raw_z,filt_x,filt_y,filt_z,raw_qw,raw_qx,raw_qy,raw_qz,filt_qw,filt_qx,filt_qy,filt_qz,gripper_dist_mm
43.717547,1783651665.46,0.005334630899596959,-0.01700473832897842,0.2640000134706497,0.005209167546543218,-0.0167137573685376,0.2637711232791362,0.2789297507511551,0.7127398380814604,-0.21262699229947526,-0.6074453716205194,0.2733166442041863,0.7191005128491061,-0.210016094122431,-0.6033951480006059,29.991519931841943
43.773946,1783651665.527,0.004225605051033199,-0.017826121766120195,0.26500001549720764,0.0048162846866901185,-0.017146014073192762,0.2643024633570652,0.24263523268305118,0.7481536588436317,-0.20332692885135517,-0.5831401260619989,0.2511902490573695,0.7402721231232433,-0.20522585388434006,-0.5888828333399997,29.39542054708569
43.830183,1783651665.56,0.005082514602690935,-0.01727188192307949,0.2655000239610672,0.004881112680157457,-0.017176095956767324,0.26461375326534653,0.246436732491882,0.7452956220921875,-0.20902697478807106,-0.5831904460636261,0.2485775927470176,0.7430449520313701,-0.20731980655930318,-0.5857575244527465,30.523338692225174
43.887354,1783651665.627,0.004511231032665819,-0.01727459393441677,0.26600001752376556,0.004734876866753646,-0.01721444735522986,0.2651664858312873,0.24610397504336326,0.7478038413512522,-0.20715727079800225,-0.5807823288321453,0.24691082462337524,0.7462587569332159,-0.20721140981172856,-0.5824056524692494,29.936992289020957
43.952401,1783651665.694,0.005511513678357005,-0.017268097260966897,0.2655000239610672,0.005035858880028634,-0.017235319958707446,0.26529757669428883,0.2455014991000339,0.7373761237396849,-0.20978173106458461,-0.5932934277318597,0.2459911975400775,0.7404437578741709,-0.2089038954396731,-0.5895680915959621,29.909667469545667
44.010944,1783651665.76,0.0052475017728284,-0.016898253117688,0.26650001108646393,0.005117261415291639,-0.017105739631813072,0.2657636722789799,0.23490626456025063,0.7485176673705657,-0.20771083664603288,-0.5842914998904928,0.23889222358380885,0.7456374205934223,-0.20814440309294613,-0.5862006908756185,29.91011995734836
44.068202,1783651665.793,0.004813092673430219,-0.017048036097548902,0.26650001108646393,0.005044740643265712,-0.017091994968525513,0.26594365387887187,0.25290384229094887,0.7359082880324369,-0.21116020212369657,-0.5915150101212328,0.24586665206717107,0.7408320533901354,-0.20965198051671527,-0.5888662879945286,30.62128420368835
44.123408,1783651665.86,0.005119282868690789,-0.016808501561172307,0.2670000195503235,0.005073635357048316,-0.016981458446141864,0.26636707031239093,0.24548003637741517,0.7378409830995839,-0.20891735827203242,-0.5930293186777681,0.24562422691539373,0.7389528660316271,-0.2091905295898059,-0.5914868749733978,29.91701224015992
44.179599,1783651665.927,0.0052615612803492695,-0.017101576668210328,0.2670000195503235,0.0051465429402999105,-0.017028091969334747,0.26662092472478827,0.24932068424752754,0.7464996590320951,-0.2104223256868291,-0.5799137007554283,0.24793056352969295,0.7436673002726443,-0.20996217012669038,-0.5842989554061658,30.369940757975616
44.237251,1783651665.96,0.00500349466165062,-0.016872871317900717,0.2685000151395798,0.00511256065736593,-0.016991002042391914,0.2671048574776498,0.2577663385261102,0.7368281714968925,-0.20885838907009016,-0.5890831297248593,0.2524985143416544,0.7405101526151109,-0.20945450630511966,-0.5865304970056383,29.706915800085095
